"Title:","Aggregate Weekly Payrolls of All Employees from the Current Employment Statistics Database"
"SubTitle:","USA - Super Labor Sector: Manufacturing - NAICS Code*: N/A - Seasonally Adjusted: Seasonally Adjusted"
"Time:","03/2006 - 10/2021"
"Unit of Measure:","#"
"Citation:","Bureau of Labor Statistics (2021-11-30). Aggregate Weekly Payrolls of All Employees: Aggregate Weekly Payrolls of All Employees |  | Manufacturing | N/A | Seasonally Adjusted, 03/2006 - 10/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-021-022 doi:https://doi.org/10.6068/DP17D716D12D124"
"ColumnCount:","2"
"RowCount:","188"

"Time","USA"
"03/2006",11710342000
"04/2006",11805166000
"05/2006",11771446000
"06/2006",11860472000
"07/2006",11883869000
"08/2006",11829927000
"09/2006",11846620000
"10/2006",11918710000
"11/2006",11837787000
"12/2006",11905347000
"01/2007",11873181000
"02/2007",11865825000
"03/2007",11891264000
"04/2007",11989141000
"05/2007",11934367000
"06/2007",12015680000
"07/2007",12013390000
"08/2007",11958454000
"09/2007",11971995000
"10/2007",11845899000
"11/2007",11965419000
"12/2007",12005463000
"01/2008",11913300000
"02/2008",11964826000
"03/2008",12058060000
"04/2008",11912724000
"05/2008",11958022000
"06/2008",12005277000
"07/2008",11828795000
"08/2008",11853564000
"09/2008",11707116000
"10/2008",11682735000
"11/2008",11600869000
"12/2008",11341025000
"01/2009",11121059000
"02/2009",11056578000
"03/2009",10833555000
"04/2009",10721870000
"05/2009",10535658000
"06/2009",10450922000
"07/2009",10511701000
"08/2009",10505274000
"09/2009",10514052000
"10/2009",10483602000
"11/2009",10564424000
"12/2009",10537057000
"01/2010",10585430000
"02/2010",10531176000
"03/2010",10619222000
"04/2010",10715106000
"05/2010",10880246000
"06/2010",10759074000
"07/2010",10856607000
"08/2010",10908680000
"09/2010",10945207000
"10/2010",10967625000
"11/2010",10956676000
"12/2010",10998924000
"01/2011",11061860000
"02/2011",11091695000
"03/2011",11103112000
"04/2011",11159071000
"05/2011",11237991000
"06/2011",11214160000
"07/2011",11275023000
"08/2011",11263804000
"09/2011",11264411000
"10/2011",11421040000
"11/2011",11283805000
"12/2011",11413615000
"01/2012",11524141000
"02/2012",11540729000
"03/2012",11563866000
"04/2012",11638982000
"05/2012",11524817000
"06/2012",11610501000
"07/2012",11652355000
"08/2012",11576682000
"09/2012",11618848000
"10/2012",11615959000
"11/2012",11639228000
"12/2012",11721470000
"01/2013",11705431000
"02/2013",11839047000
"03/2013",11827745000
"04/2013",11838816000
"05/2013",11877888000
"06/2013",11930627000
"07/2013",11886443000
"08/2013",11994415000
"09/2013",12046828000
"10/2013",12041345000
"11/2013",12172975000
"12/2013",12162139000
"01/2014",12135082000
"02/2014",12184817000
"03/2014",12288832000
"04/2014",12263104000
"05/2014",12355225000
"06/2014",12424645000
"07/2014",12383485000
"08/2014",12458142000
"09/2014",12446435000
"10/2014",12515213000
"11/2014",12586459000
"12/2014",12558982000
"01/2015",12558520000
"02/2015",12623655000
"03/2015",12603460000
"04/2015",12619633000
"05/2015",12655128000
"06/2015",12589106000
"07/2015",12711858000
"08/2015",12809592000
"09/2015",12739929000
"10/2015",12789641000
"11/2015",12829744000
"12/2015",12813430000
"01/2016",12938838000
"02/2016",12913549000
"03/2016",12939737000
"04/2016",13033492000
"05/2016",13066702000
"06/2016",13063744000
"07/2016",13092040000
"08/2016",13131997000
"09/2016",13158159000
"10/2016",13236605000
"11/2016",13153481000
"12/2016",13234986000
"01/2017",13267963000
"02/2017",13304201000
"03/2017",13288350000
"04/2017",13404670000
"05/2017",13433619000
"06/2017",13494797000
"07/2017",13551759000
"08/2017",13527672000
"09/2017",13584319000
"10/2017",13660985000
"11/2017",13710084000
"12/2017",13695291000
"01/2018",13739739000
"02/2018",13853439000
"03/2018",13873648000
"04/2018",13996213000
"05/2018",13971940000
"06/2018",14059006000
"07/2018",14077069000
"08/2018",14092408000
"09/2018",14101957000
"10/2018",14144140000
"11/2018",14207687000
"12/2018",14294335000
"01/2019",14272627000
"02/2019",14312981000
"03/2019",14334614000
"04/2019",14308699000
"05/2019",14351805000
"06/2019",14404255000
"07/2019",14372502000
"08/2019",14444422000
"09/2019",14473990000
"10/2019",14372527000
"11/2019",14551186000
"12/2019",14562000000
"01/2020",14563339000
"02/2020",14705543000
"03/2020",14540618000
"04/2020",12712685000
"05/2020",13143606000
"06/2020",13436771000
"07/2020",13802093000
"08/2020",14009687000
"09/2020",14119297000
"10/2020",14172049000
"11/2020",14248556000
"12/2020",14187960000
"01/2021",14333415000
"02/2021",14383329000
"03/2021",14534850000
"04/2021",14546882000
"05/2021",14679017000
"06/2021",14720548000
"07/2021",14942264000
"08/2021",15014551000
"09/2021",15122515000
"10/2021",15223308000



"Publisher:", "Bureau of Labor Statistics"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."