Track	Year	Start of season 1	End of season 1	Start of season 2	End of season 2	Number of races per week	Number of horses per race	Number of injuries	Number of deaths from injury
Example	1960	5/1/1960	7/2/1960	N/A	N/A	N/A	N/A	N/A	N/A
Santa Anita	2018	9/19/2018	10/25/2018	12/28/2018	6/21/2019	27	10	N/A	18
Golden Gate Fields	2018	1/1/2018	12/31/2018	N/A 	N/A	36	8	N/A	33
Los Alamitos	2018	6/26/2019	7/5/18	12/4/18	12/20/18	50	8	36	N/A
Saratoga Race Track	2018	7/20/2018	10/3/2018	N/A 	N/A	50	8	14	N/A
Churchill Downs	2018	5/10/2018	6/30/2020	9/14/2020	9/30/2020	50	8	168	16
Pimlico Race Course	2018	5/10/2018	5/28/2018	N/A	N/A	40	5	29	N/A
Belmont Park	2018	4/27/2018	7/15/2018	9/7/2018	10/28/2018	30	9	29	6
Santa Anita	2019	9/19/2019	10/25/2019	12/28/2019	6/21/2020	27		N/A	20
Golden Gate Fields	2019	1/1/2019	12/31/2019	N/A	N/A	36	8	N/A	20
Los Alamitos	2019	6/26/2019	7/5/2019	12/4/19	12/20/19	50	8	29	N/A
Saratoga Race Track	2019	7/11/2019	10/2/2019	N/A	N/A	50	8	16	N/A
Churchill Downs	2019	5/1/2019	6/29/2019	9/13/2019	9/29/2019	50	8	95	N/A
Belmont Park	2019	4/26/2019	7/7/2019	9/6/2019	10/27/2019	40	9	34	N/A
Pimlico Race Course	2019	5/9/2019	5/27/2019		N/A	N/A	5	60	
Santa Anita	2020	9/19/2020	10/25/2020	12/28/2020	6/21/2021	27	12	N/A	8
Golden Gate Fields	2020	1/1/2020	6/14/2020	7/31/2020	12/13/2020	36	8	N/A	20
Los Alamitos	2020	09/10/2020	09/25/2020	12/3/2020	12/20/2020	50	8	17	N/A
Saratoga Race Track	2020	7/16/2020	10/7/2020	N/A	N/A	50	8	20	N/A
Churchill Downs	2020	5/16/2020	6/29/2020	9/17/2020	9/27/2020	50	8	N/A	N/A
Pimlico Race Course	2020	9/24/2020	10/3/2020	N/A	N/A	30	6.5	N/A	N/A
Belmont Park	2020	6/3/2020	7/12/2020	9/18/2020	11/1/2020	40	9	24	